"total_count","date","division","B.1.617.2.","BA.1.","BA.2."
40,2022-01-03,"Zürich",9,31,0
80,2022-01-04,"Zürich",12,68,0
62,2022-01-05,"Zürich",8,54,0
25,2022-01-06,"Zürich",2,23,0
28,2022-01-07,"Zürich",5,23,0
39,2022-01-08,"Zürich",4,33,1
21,2022-01-09,"Zürich",0,21,0
55,2022-01-10,"Zürich",8,47,0
49,2022-01-11,"Zürich",6,43,0
37,2022-01-12,"Zürich",0,37,0
93,2022-01-13,"Zürich",4,89,0
31,2022-01-14,"Zürich",2,29,0
29,2022-01-15,"Zürich",2,27,0
98,2022-01-16,"Zürich",7,90,1
67,2022-01-17,"Zürich",1,65,1
59,2022-01-18,"Zürich",1,58,0
64,2022-01-19,"Zürich",1,60,3
46,2022-01-20,"Zürich",1,43,2
13,2022-01-21,"Zürich",1,12,0
14,2022-01-22,"Zürich",0,11,3
10,2022-01-23,"Zürich",0,8,2
70,2022-01-24,"Zürich",0,63,7
48,2022-01-25,"Zürich",0,45,3
78,2022-01-26,"Zürich",0,64,14
23,2022-01-27,"Zürich",0,18,5
37,2022-01-28,"Zürich",2,33,2
28,2022-01-29,"Zürich",0,24,4
23,2022-01-30,"Zürich",1,22,0
77,2022-01-31,"Zürich",1,72,4
40,2022-02-01,"Zürich",0,39,1
40,2022-02-02,"Zürich",0,34,6
26,2022-02-03,"Zürich",0,24,2
27,2022-02-04,"Zürich",1,20,6
23,2022-02-05,"Zürich",0,21,2
42,2022-02-06,"Zürich",0,31,11
46,2022-02-07,"Zürich",0,39,7
21,2022-02-08,"Zürich",0,18,3
64,2022-02-09,"Zürich",0,52,12
51,2022-02-10,"Zürich",0,33,18
50,2022-02-11,"Zürich",0,38,12
49,2022-02-12,"Zürich",0,37,12
77,2022-02-13,"Zürich",0,41,36
39,2022-02-14,"Zürich",0,31,8
62,2022-02-15,"Zürich",0,40,22
49,2022-02-16,"Zürich",0,32,17
86,2022-02-17,"Zürich",0,52,33
20,2022-02-18,"Zürich",0,7,13
54,2022-02-19,"Zürich",0,31,23
73,2022-02-20,"Zürich",0,47,25
57,2022-02-21,"Zürich",1,25,31
83,2022-02-22,"Zürich",0,38,45
68,2022-02-23,"Zürich",0,39,29
31,2022-02-24,"Zürich",0,15,16
41,2022-02-25,"Zürich",0,24,17
13,2022-02-26,"Zürich",0,6,7
67,2022-02-27,"Zürich",0,29,38
20,2022-02-28,"Zürich",0,7,13
75,2022-03-01,"Zürich",0,31,44
38,2022-03-02,"Zürich",0,11,27
33,2022-03-03,"Zürich",0,10,23
20,2022-03-04,"Zürich",0,5,15
7,2022-03-05,"Zürich",0,2,5
4,2022-03-06,"Zürich",0,1,3
38,2022-03-07,"Zürich",0,10,28
18,2022-03-08,"Zürich",0,4,14
20,2022-03-09,"Zürich",0,2,18
28,2022-03-10,"Zürich",0,3,25
13,2022-03-11,"Zürich",0,3,10
54,2022-03-12,"Zürich",0,13,41
53,2022-03-13,"Zürich",0,6,47
25,2022-03-14,"Zürich",0,4,21
63,2022-03-15,"Zürich",0,8,55
15,2022-03-16,"Zürich",0,2,13
4,2022-03-17,"Zürich",0,3,1
15,2022-03-18,"Zürich",0,3,12
33,2022-03-19,"Zürich",0,4,29
106,2022-03-20,"Zürich",0,9,97
38,2022-03-21,"Zürich",0,4,34
19,2022-03-22,"Zürich",0,3,16
4,2022-03-23,"Zürich",0,1,3
12,2022-03-24,"Zürich",1,2,9
9,2022-03-25,"Zürich",0,0,9
57,2022-03-26,"Zürich",0,7,50
25,2022-03-27,"Zürich",0,1,24
17,2022-03-28,"Zürich",0,1,15
16,2022-03-29,"Zürich",0,0,16
6,2022-03-30,"Zürich",0,0,6
8,2022-04-01,"Zürich",0,0,8
4,2022-04-02,"Zürich",0,0,4
35,2022-04-03,"Zürich",0,0,35
22,2022-04-04,"Zürich",0,0,22
19,2022-04-05,"Zürich",0,1,17
17,2022-04-06,"Zürich",0,0,17
15,2022-04-07,"Zürich",0,0,15
4,2022-04-08,"Zürich",0,0,3
13,2022-04-09,"Zürich",0,0,13
9,2022-04-10,"Zürich",0,0,8
48,2022-04-11,"Zürich",0,1,47
9,2022-04-12,"Zürich",0,1,8
14,2022-04-13,"Zürich",0,0,14
10,2022-04-14,"Zürich",0,0,10
2,2022-04-15,"Zürich",0,0,2
2,2022-04-16,"Zürich",0,0,2
7,2022-04-17,"Zürich",0,0,7
9,2022-04-18,"Zürich",0,0,9
12,2022-04-19,"Zürich",0,1,11
9,2022-04-20,"Zürich",0,0,9
10,2022-04-21,"Zürich",0,0,10
8,2022-04-22,"Zürich",0,1,7
2,2022-04-23,"Zürich",0,0,2
11,2022-04-24,"Zürich",0,0,11
16,2022-04-25,"Zürich",0,0,16
11,2022-04-26,"Zürich",0,1,10
9,2022-04-27,"Zürich",0,0,9
11,2022-04-28,"Zürich",0,0,9
5,2022-04-29,"Zürich",0,0,5
3,2022-04-30,"Zürich",0,0,3
3,2022-05-01,"Zürich",0,0,3
