"variant","date","proportion"
"B.1.617.2",2022-01-03,0.152187409705461
"B.1.617.2",2022-01-04,0.0864031777048712
"B.1.617.2",2022-01-05,0.098998278159905
"B.1.617.2",2022-01-06,0.0938667373479038
"B.1.617.2",2022-01-07,0.0717784375254041
"B.1.617.2",2022-01-08,0.0818644441925813
"B.1.617.2",2022-01-09,0.0482257822114276
"B.1.617.2",2022-01-10,0.0588963201683734
"B.1.617.2",2022-01-11,0.042240197634652
"B.1.617.2",2022-01-12,0.0381288340175291
"B.1.617.2",2022-01-13,0.0261978791705153
"B.1.617.2",2022-01-14,0.0270570774444688
"B.1.617.2",2022-01-15,0.0259070485668908
"B.1.617.2",2022-01-16,0.0593230051096077
"B.1.617.2",2022-01-17,0.0299083767793492
"B.1.617.2",2022-01-18,0.0298843001984279
"B.1.617.2",2022-01-19,0.0222521126046549
"B.1.617.2",2022-01-20,0.0201729226245811
"B.1.617.2",2022-01-21,0.0147471188535679
"B.1.617.2",2022-01-22,0.00860603102652621
"B.1.617.2",2022-01-23,0.011894045508084
"B.1.617.2",2022-01-24,0.0100555257537642
"B.1.617.2",2022-01-25,0.0113470249917929
"B.1.617.2",2022-01-26,0.00620632420989214
"B.1.617.2",2022-01-27,0.0072399118602937
"B.1.617.2",2022-01-28,0.0025261276186076
"B.1.617.2",2022-01-29,0.0106859663904776
"B.1.617.2",2022-01-30,0.0128126054993401
"B.1.617.2",2022-01-31,0.045472164146444
"B.1.617.2",2022-02-01,0.0126010037480021
"B.1.617.2",2022-02-02,0.00576232203937799
"B.1.617.2",2022-02-03,0.00792787148860124
"B.1.617.2",2022-02-04,0.00559478583759777
"B.1.617.2",2022-02-05,0.00164212622234702
"B.1.617.2",2022-02-06,0.000880934459885486
"B.1.617.2",2022-02-07,0.0048438950419322
"B.1.617.2",2022-02-08,0.000392201888446612
"B.1.617.2",2022-02-09,0.00187705285876867
"B.1.617.2",2022-02-10,0.000934173904621205
"B.1.617.2",2022-02-11,0.000749935251370632
"B.1.617.2",2022-02-12,0.000234060098965818
"B.1.617.2",2022-02-13,0.000128274594833027
"B.1.617.2",2022-02-14,0.000469421259883889
"B.1.617.2",2022-02-15,0.0011893403312759
"B.1.617.2",2022-02-16,0.00134286872924305
"B.1.617.2",2022-02-17,0.000290588221684469
"B.1.617.2",2022-02-18,0.00246443639271462
"B.1.617.2",2022-02-19,3.95641202227899e-07
"B.1.617.2",2022-02-20,1.95213620705019e-05
"B.1.617.2",2022-02-21,0.00123547509280242
"B.1.617.2",2022-02-22,6.15180325373477e-14
"B.1.617.2",2022-02-23,0.00252560789840905
"B.1.617.2",2022-02-24,1.11243446016966e-09
"B.1.617.2",2022-02-25,0.00112168894439286
"B.1.617.2",2022-02-26,0.00261309808402258
"B.1.617.2",2022-02-27,0.000360775246408901
"B.1.617.2",2022-02-28,0.00042562388182867
"B.1.617.2",2022-03-01,0.00138519188179665
"B.1.617.2",2022-03-02,0.000542489246069652
"B.1.617.2",2022-03-03,0.000627301088069811
"B.1.617.2",2022-03-04,9.49777446033729e-05
"B.1.617.2",2022-03-05,0.000508214675096882
"B.1.617.2",2022-03-06,0.000854677400898815
"B.1.617.2",2022-03-07,0.000889836886995906
"B.1.617.2",2022-03-08,0.00096565627405072
"B.1.617.2",2022-03-09,0.00113290733818206
"B.1.617.2",2022-03-10,0.000500177414218562
"B.1.617.2",2022-03-11,0.00142356973056599
"B.1.617.2",2022-03-12,0.000364733462280586
"B.1.617.2",2022-03-13,0.000260556088234422
